DATE,ND000334Q
2002-01-01,3263.869
2002-04-01,3362.508
2002-07-01,3401.82
2002-10-01,3460.159
2003-01-01,3340.163
2003-04-01,3429.079
2003-07-01,3498.914
2003-10-01,3597.364
2004-01-01,3484.837
2004-04-01,3575.515
2004-07-01,3617.667
2004-10-01,3721.678
2005-01-01,3603.67
2005-04-01,3701.582
2005-07-01,3767.844
2005-10-01,3828.173
2006-01-01,3729.338
2006-04-01,3836.061
2006-07-01,3833.693
2006-10-01,3916.851
2007-01-01,3785.119
2007-04-01,3896.72
2007-07-01,3926.744
2007-10-01,4015.289
2008-01-01,3902.77
2008-04-01,3934.652
2008-07-01,3910.393
2008-10-01,3895.147
2009-01-01,3703.443
2009-04-01,3782.545
2009-07-01,3823.607
2009-10-01,3926.667
2010-01-01,3776.48
2010-04-01,3900.64
2010-07-01,3945.123
2010-10-01,4026.748
2011-01-01,3871.183
2011-04-01,3957.95
2011-07-01,3983.907
2011-10-01,4078.494
2012-01-01,3986.349
2012-04-01,4046.533
2012-07-01,4083.025
2012-10-01,4138.064
2013-01-01,4017.571
2013-04-01,4104.203
2013-07-01,4170.71
2013-10-01,4260.864
2014-01-01,4079.517
2014-04-01,4194.264
2014-07-01,4287.261
2014-10-01,4371.009
2015-01-01,4212.523
2015-04-01,4343.294
2015-07-01,4389.955
2015-10-01,4444.522
2016-01-01,4288.31
2016-04-01,4407.286
2016-07-01,4449.603
2016-10-01,4535.075
2017-01-01,4340.814
2017-04-01,4510.507
2017-07-01,4556.956
2017-10-01,4668.375
2018-01-01,4500.182
2018-04-01,4646.83
2018-07-01,4689.905
2018-10-01,4772.161
2019-01-01,4584.814
2019-04-01,4753.025
2019-07-01,4796.221
2019-10-01,4901.993
2020-01-01,4628.46
2020-04-01,4335.915
2020-07-01,4701.108
2020-10-01,4843.66
2021-01-01,4691.624
2021-04-01,4890.835
2021-07-01,4916.402
2021-10-01,5110.951
2022-01-01,4855.857
2022-04-01,4985.795
2022-07-01,5018.093
2022-10-01,5157.178
2023-01-01,4949.655
